Artist,StreamCount
Playboi Carti,19256
Yeat,17131
Destroy Lonely,8791
Homixide Gang,4728
Ken Carson,3733
Future,3417
Kanye West,3034
Lancey Foux,2751
UnoTheActivist,2525
Pi’erre Bourne,2446
Gunna,2257
Young Thug,2095
Lil Uzi Vert,1943
Billie Eilish,1684
YoungBoy Never Broke Again,1595
Lucki,1402
Young Nudy,1035
21 Savage,887
Drake,858
Travis Scott,825
King Von,766
Kendrick Lamar,739
Migos,738
Isaiah Rashad,702
Lil Baby,617
Rihanna,611
Metro Boomin,557
PinkPantheress,555
Juice WRLD,544
Young Dolph,503
Bktherula,485
Trippie Redd,485
Lana Del Rey,463
Taylor Swift,413
Doja Cat,383
Labrinth,380
Summrs,374
Kankan,353
A$AP Rocky,351
Lil Yachty,335
Mac Miller,327
Nardo Wick,317
"Tyler, the Creator",284
Abra,281
Frank Ocean,277
Quavo,277
A$AP Mob,258
Baby Keem,257
Varianzze,257
Polo G,237
Rick Owens,221
Dayglow,218
Offset,215
Key Glock,205
Roosevelt,205
Jungle,200
Young Stoner Life,200
Kodak Black,187
Solange,185
Dom Corleo,180
vidzgiriuka$,168
SlimeShiit,164
Michael Da Vinci,153
J. Cole,144
NAV,143
Chief Keef,138
Dominic Fike,137
Lil Durk,137
Quality Control,134
Takeoff,127
Mike Will Made-It,126
Ken Carson & Destroy Lonely,120
The Neighbourhood,114
Harry Styles,111
Ayra Starr,109
Justin Bieber,109
Post Malone,107
Wakadinali,107
Kid Cudi,105
Cochise,102
Wiz Khalifa,100
Unikart,99
Ethereal,98
Skepta,98
DJ Khaled,96
Lil Tjay,94
Or10c,93
Lykke Li,89
Khalid,88
rareslit,88
jahhde,87
KayCyy,87
Sauti Sol,86
Cloudcity,85
"Ken Carson, Destroy Lonely",85
The Weeknd,84
TM88,84
ScrewStache,83
Strick,82
Omah Lay,81
linkthefires,79
Burna Boy,78
Sia,78
Georgia,77
Pink Floyd,76
BabyTron,75
XXXTENTACION,74
Matt OX,73
Gucci Mane,72
Lil Nas X,71
"Yeat, Young Thug",71
Clairo,70
Money Man,67
SZA,67
Wizkid,67
"Young Dolph, Key Glock",67
Pirus,66
Central Cee,64
Cold Contempt,64
JACKBOYS,64
Autumn!,63
Nasty C,63
Nicki Minaj,63
Mustard,62
TRE SAVAGE,61
Major Lazer,60
jxmper.,59
Lil 1 DTE,59
Peggy Gou,58
Moneybagg Yo,56
Patoranking,56
theRackz Zity,56
iAMWVS,55
Lil Keed,55
"Destroy Lonely, Ken Carson",54
OCHUNGULO FAMILY,54
Pop Smoke,54
Ed Sheeran,53
iann dior,53
Ken Car$on,53
Meek Mill,53
racki diorr,53
Slimesito,52
realgeeker,51
SeptembersRich,51
APRE,50
Ella Mai,50
Jadu Heart,50
Mr Eazi,50
nether.,50
Kilo Herz,49
Rae Sremmurd,47
vetrens,47
Selena Gomez,45
YEAT x Lil Uzi Vert,45
1Htxr,44
G-Eazy,44
"Playboi Carti, Offset",44
SlatttKarti,44
Pairu,42
Popcaan,42
Rema,42
McAllister Museum,40
"jahhde, Ifys",39
Jhené Aiko,39
Kahu$h,39
lotus <3,39
SPOTEMGOTTEM,39
Yung Kayo,39
Ariana Grande,38
Maverick City Music,38
Odunsi (The Engine),38
YNW Melly,37
Dua Lipa,36
Eminem,36
Famous Dex,36
Rich the Kid,36
Snoop Dogg,36
UNIK ♪,36
Arctic Monkeys,35
Inner Work: A Spiritual Growth Podcast,35
LiL Stitch,35
Parcels,35
Pud GEe,35
$NOT,34
Bia,34
Pooh Shiesty,34
SiR,34
Six Dior,34
vjac0b,34
Xals!,34
Chris Brown,33
Day$Tar,33
J Balvin,33
Snky Bnz,33
Alec Benjamin,32
Davido,32
kidthvldd,32
Porij,32
Portugal. The Man,32
svjcartier,32
Fireboy DML,31
Kali,31
Lil Tecca,31
Cartis Bunny,30
Philosophize This!,30
Russ,30
Tell,30
Yeat Archive,30
"Young Thug, 21 Savage",30
"Young Thug, Lil Uzi Vert",30
"SoFaygo, Ken Carson",29
50 Cent,28
agreatchaos,28
Benny Blanco,28
DJ Snake,28
Elevation Worship,28
Gyakie,28
Kehlani,28
Michael Jackson,28
phasewave,28
Adekunle GOLD,27
Bladee,27
KanKan; Summrs,27
LadiPOE,27
M.O,27
Megan Thee Stallion,27
Still Woozy,27
tecdrew,27
Trvp T,27
2Pac,26
FXXXXY,26
Jane Color,26
John Legend,26
Kygo,26
Sharkboy,26
Ski Mask the Slump God,26
"Yeat, Lancey Foux",26
YFN Lucci,26
6sin,25
Desiigner,25
"Homixide Gang, Ken Carson",25
SoFaygo,25
The Alchemical Mind,25
"21 Savage, Metro Boomin",24
6LACK,24
Of Monsters and Men,24
Paper Route Empire,24
PARTYNEXTDOOR,24
Tee Grizzley,24
Trxps,24
"Yeat, Kranky Kranky",24
A Boogie wit da Hoodie,23
Cardi B,23
Destroylonely,23
Eternalised,23
Lil No Love,23
Tekno,23
WAV3 PLUS++,23
Yung $hebeel,23
A Dreaming Machine,22
Cage the Elephant,22
Don Toliver,22
"Drake, Tems",22
"Homixide Gang, 5unna, Biggaveli",22
Joeboy,22
NF,22
Salvia Palth,22
Summrs; Yeat,22
Oxlade,21
"Playboi Carti, Lil Uzi Vert",21
Sarz,21
starglazing,21
danielveryrare,20
DP Beats,20
Fetty Wap,20
Flo Milli,20
Keith Ape,20
Kwesta,20
