ID,Breed,Location of origin,Type,Body type,Coat type and length,Coat pattern
1,Abyssinian,"Unspecified, but somewhere in Afro-Asia, likely Ethiopia",Natural,Semi-foreign,Short,Ticked tabby
2,Aegean,Greece,Natural,Moderate,Semi-long,Multi-color
3,American Bobtail,United States,Mutation of shortened tail,Cobby,Semi-long,All
4,American Curl,United States,Mutation,Semi-foreign,Semi-long,All
5,American Ringtail,United States,Mutation,Foreign,Semi-long,All
6,American Shorthair,United States,Natural,Cobby,Short,All
7,American Wirehair,United States,Mutation,Normal,Rex,All
8,Aphrodite Giant,Cyprus,Natural,Lean and muscular,All,All
9,Arabian Mau,Arabian Peninsula,Natural,Moderate and muscular,Short,All
10,Asian,United Kingdom,Crossbreed between the Burmese and Chinchilla Persians,Moderate,Short,All without white and without siamese pointing
11,Asian Semi-longhair,United Kingdom,Crossbreed between the Burmese and Chinchilla Persians,Moderate,Semi-long,All without white and without siamese pointing
12,Australian Mist,Australia,"Crossbreed between the Abyssinian, Burmese, and Australian short-haired cats[12]",Moderate,Short,Spotted or marbled
13,Balinese,Developed in United States; foundation stock from Thailand,Mutation of the Siamese,Semi-foreign,Long,Colorpoint
14,Bambino,United States,Crossbreed between the Munchkin and Sphynx[12],Dwarf,Short,Black + white hairless
15,Bengal,"Developed in United States, but created in Asia",Hybrid of the Abyssinian and Egyptian Mau × leopard cat (Prionailurus bengalensis),Large,Short,"Spotted, marbled, or rosetted"
16,Birman,Developed in France; foundation stock from Burma (Myanmar),The original Birman was crossed with the Siamese and the Persian to create the Birman of today.,Cobby,Semi-long,Mitted colorpoint
17,Bombay,United States and Burma (Myanmar),Crossbreed between the Black American Shorthair and Sable Burmese,Cobby,Short,Solid black
18,Brazilian Shorthair,Brazil,Natural,Normal,Short,All
19,British Longhair,United Kingdom (England),Natural,Cobby,Semi-long,All
20,British Shorthair,United Kingdom (England),Natural,Cobby,Short,All[13]
21,Burmese,Burma (Myanmar),Natural,Semi-foreign or semi-cobby,Short,Solid and Tortoiseshell[14]
22,Burmilla,United Kingdom (England),Crossbreed between the Burmese and the Chinchilla Persian,Semi-cobby,Short,Solid with Shaded Silver and Silver Tipped patterns
23,California Spangled,United States,"Crossbreed between the Abyssinian, American Shorthair and British Shorthair",Moderate,Short,Spotted tabby
24,Chantilly-Tiffany,United States,Natural,Cobby,Long,"Solid, classic tabby, spotted tabby and ticked tabby"
25,Chartreux,France,Natural,Muscular; cobby,Short,Varying shades of blue
26,Chausie,United States,Hybrid of the Abyssinian × jungle cat (Felis chaus),Normal,Short,"Solid black, black grizzled tabby and black ticked tabby"
27,Colorpoint Shorthair,United Kingdom (England),"Crossbreed between the Abyssinian, Siamese and short-haired cats",Foreign,Short,Colorpoint
28,Cornish Rex,"Cornwall, England, United Kingdom",Mutation,Foreign,Rex,All
29,"Cymric, Manx Longhair or Long-haired Manx","Isle of Man, United States, and Canada",Mutation of the Manx (shortened tail),Semi-cobby,Long,All
30,Cyprus,Cyprus,Natural,Lean and muscular,All,All
31,Devon Rex,"Buckfastleigh, Devon, England, United Kingdom",Mutation,Semi-foreign,Rex,All
32,Donskoy or Don Sphynx,Russia,Mutation,Semi-foreign,Hairless,Solid
33,Dragon Li or Chinese Li Hua,China,Natural,Normal,Short,Ticked tabby
34,Dwelf,United States,"Crossbreed between the American Curl, Munchkin and Sphynx",Dwarf,Hairless,All
35,Egyptian Mau,Egypt,Natural,Moderate and muscular,Short,Spotted tabby
36,European Shorthair,Continental Europe,Natural,Moderate,Short,All
37,Exotic Shorthair,United States,Crossbreed between the American Shorthair and Persian,Cobby,Short,All
38,Foldex,Canada,Crossbreed between the Exotic Shorthair and Scottish Fold,Cobby,Short,All
39,German Rex,Germany,Mutation,Semi-foreign,Rex,All
40,Havana Brown,United Kingdom (England); foundation stock from Thailand,Crossbreed between the Siamese and black short-haired cats,Semi-foreign,Short,Solid brown
41,Highlander,United States,Crossbreed between the Desert Lynx and Jungle Curl,Moderate,Short/long,All
42,Himalayan or Colorpoint Persian,United States and United Kingdom,Crossbreed between the Persian and Siamese,Cobby,Long,Colorpoint
43,Japanese Bobtail,Japan,Mutation of shortened tail,Moderate,Short/long,All
44,Javanese or Colorpoint Longhair,Developed in United States and Canada; foundation stock from Southeast Asia,"Crossbreed between the Balinese (with some Colorpoint Shorthair), Oriental Longhair and Siamese",Oriental,Long,Colorpoint
45,Kanaani,Israel,Hybrid of short-haired cats × African wildcat (Felis lybica),Semi-foreign,Short,"Solid black, chocolate spotted tabby or cinnamon spotted tabby"
46,Khao Manee,Thailand,Natural,Moderate,Short,Solid white
47,Kinkalow,United States,Crossbreed between the Munchkin and American Curl,Dwarf,Short,All
48,Korat,Thailand,Natural,Semi-foreign or semi-cobby and muscular,Short,Solid blue
49,Korean Bobtail,Korea,"Natural, mutation of shortened tail",Moderate,Short/long,All
