Home Team,Away Team,H,X,A,Pick,Home Form,Away Form,Time
San Antonio FC,Chacaritas,1.9,3.2,4,1,"('L', 'D', 'D', 'D', 'D')","('L', 'W', 'L', 'L', 'W')",7/6/2024 1:00
Coquimbo Unido,Palestino,2.1,3.4,3.3,X,"('W', 'D', 'W', 'W', 'L')","('W', 'L', 'L', 'L', 'D')",7/6/2024 1:00
Talleres Cordoba,Colon Santa Fe,1.8,3.4,4.2,1X,"('W', 'L', 'D', 'W', 'W')","('W', 'L', 'W', 'L', 'W')",7/6/2024 1:10
Tigres FC,Real Cartagena,4,3.5,1.9,2,"('L', 'L', 'L', 'L', 'L')","('L', 'W', 'W', 'D', 'L')",7/6/2024 1:30
South Melbourne,Manningham United Blues,1.1,7,12.4,1,"('W', 'W', 'W', 'W', 'L')","('D', 'L', 'L', 'L', 'L')",7/6/2024 10:30
Sydney II,St. George Saints,2.8,3.9,2.1,X,"('L', 'L', 'L', 'L', 'L')","('L', 'D', 'D', 'W', 'W')",7/6/2024 10:30
Manly United,APIA Leichhardt Tigers,5.9,4.7,1.4,2,"('W', 'D', 'W', 'D', 'L')","('W', 'W', 'W', 'W', 'W')",7/6/2024 10:30
South Adelaide Panthers,White City Woodville,4.5,4.5,1.5,2,"('L', 'L', 'L', 'L', 'L')","('W', 'L', 'W', 'D', 'L')",7/6/2024 11:00
MetroStars,Campbelltown City,1.6,4.2,4.2,1,"('D', 'W', 'D', 'D', 'W')","('D', 'L', 'W', 'D', 'W')",7/6/2024 11:15
WDSC Wolves,Rochedale Rovers,2.8,3.8,2.1,X,"('L', 'L', 'L', 'W', 'L')","('L', 'W', 'L', 'L', 'W')",7/6/2024 11:15
Kenya,Burundi,2,3.4,3.9,1,"('W', 'W', 'W', 'W', 'L')","('D', 'L', 'L', 'L', 'W')",7/6/2024 14:00
Zimbabwe,Lesotho,1.7,3.3,5.7,1,"('L', 'L', 'D', 'D', 'D')","('L', 'W', 'L', 'D', 'D')",7/6/2024 14:00
Mozambique,Somalia,1.2,6.6,14,1,"('D', 'L', 'D', 'D', 'W')","('D', 'L', 'L', 'L', 'L')",7/6/2024 14:00
Haras El Hodood,Suez,1.7,3.3,5.1,1,"('D', 'W', 'W', 'D', 'W')","('D', 'L', 'L', 'L', 'W')",7/6/2024 15:00
Tersana,Sporting Alexandria,3.2,2.9,2.3,X,"('D', 'W', 'L', 'L', 'W')","('D', 'W', 'W', 'W', 'D')",7/6/2024 15:00
CS Constantine,MC Oran,1.8,3.6,3.9,1,"('D', 'W', 'D', 'D', 'L')","('W', 'W', 'W', 'D', 'W')",7/6/2024 16:45
JS Saoura,USM Alger,1.9,3.2,4.1,1X,"('L', 'W', 'L', 'W', 'L')","('D', 'L', 'W', 'L', 'L')",7/6/2024 16:45
MC Alger,CR Belouizdad,2.2,3.5,3,X,"('D', 'W', 'D', 'W', 'W')","('W', 'D', 'W', 'L', 'L')",7/6/2024 16:45
ASO Chlef,JS Kabylie,1.4,4.5,8,1,"('L', 'W', 'W', 'D', 'W')","('D', 'D', 'D', 'D', 'W')",7/6/2024 16:45
Ben Aknoun,ES Setif,1.2,6.2,12.6,1,"('W', 'L', 'W', 'L', 'L')","('D', 'L', 'W', 'D', 'W')",7/6/2024 16:45
